img_name,mask_name,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_1_ld_2_bkgd_voronoi_yellow.png,../../../../images/masks/obj_mask.png,-0.2667589,-0.2637159,0.5296327,-0.1612268,-0.6883812,-0.9317040,-0.0009234,-0.0586826,16.1362673,-5.2973935,17.8905227,0.0556110,0.0070327,0.0057736,0.0007726,0.0131822,0.0116260,0.0024874,0.4857779,0.5572389,0.2447402,0.8190457,0.9694217,0.5957445,90.0824908,-22.1891179,27.9510515
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_2_ld_1_bkgd_voronoi_blue.png,../../../../images/masks/obj_mask.png,0.4347707,-0.3363704,0.5525446,-0.1521294,-0.2530380,-0.9815155,-0.0106766,0.0123870,5.6489322,-3.4247919,-6.0634713,0.1101748,0.0018047,0.0018130,0.0014325,0.0074150,0.0065789,0.0031710,0.1631008,0.1726404,0.1006115,0.4990467,0.4668357,0.2053825,90.6095265,-13.0132235,9.1450142
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_2_ld_1_bkgd_voronoi_diff_dist.png,../../../../images/masks/obj_mask.png,0.5114827,-0.3141497,0.5480052,-0.1864908,-0.2964588,-0.9947860,-0.0010919,0.0007791,0.8489969,0.1046236,-1.0633209,0.1052996,0.0005311,0.0004691,0.0002870,0.0071821,0.0062329,0.0027967,0.2678466,0.2877585,0.1238061,2.1271280,2.2017663,0.8223559,90.5055226,-15.8286741,10.8369293
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_2_ld_1_bkgd_voronoi_green.png,../../../../images/masks/obj_mask.png,0.5208366,-0.3356178,0.5487351,-0.1878192,-0.2850019,-0.9800400,-0.0119012,-0.0073099,6.0683596,-9.6828502,2.8458553,0.0813676,0.0019112,0.0019331,0.0006479,0.0075496,0.0067148,0.0028712,0.1696866,0.1792844,0.1295322,0.4964275,0.4644642,0.4350603,90.5222599,-15.6794785,10.3888905
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_2_ld_1_bkgd_voronoi_red.png,../../../../images/masks/obj_mask.png,-0.3666325,-0.1867653,0.5525877,-0.1778130,-0.2891607,-0.9825573,0.0120218,-0.0005049,5.4852199,8.8474944,-0.1526639,0.0842303,0.0019872,0.0012540,0.0008323,0.0072281,0.0061298,0.0028276,0.1207136,0.1599256,0.1112416,0.3633251,0.5886812,0.2980219,90.6105137,-15.1598841,10.5308258
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_2_ld_1_bkgd_voronoi_yellow.png,../../../../images/masks/obj_mask.png,-0.1414387,-0.2715973,0.5518018,-0.1507777,-0.2646964,-0.9816724,-0.0013555,-0.0099588,5.6066088,-2.3786801,4.4717660,0.1272941,0.0018812,0.0015803,0.0004583,0.0074687,0.0064856,0.0027814,0.1467707,0.1757067,0.1455650,0.4487193,0.5282606,0.6335528,90.5925228,-13.1621039,9.5932553
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_2_ld_2_bkgd_voronoi_blue.png,../../../../images/masks/obj_mask.png,0.2155566,-0.3401394,0.5082637,-0.3477943,-0.4385809,-0.9326552,-0.0506550,0.0243832,16.1140538,-14.4260352,-8.7322142,0.1482415,0.0063812,0.0068062,0.0043122,0.0118334,0.0120537,0.0050102,0.5043073,0.5537611,0.2838302,0.8239360,0.8783480,0.3385828,89.5861811,-28.6994733,16.8868117
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_2_ld_2_bkgd_voronoi_diff_dist.png,../../../../images/masks/obj_mask.png,0.3074897,-0.3083630,0.5178854,-0.2720666,-0.3706243,-0.9901009,-0.0028897,0.0023508,2.4531605,-0.4475087,-2.1636183,0.1382002,0.0009986,0.0009082,0.0005824,0.0078637,0.0070377,0.0028992,0.4653713,0.5074326,0.2394296,2.2751921,2.4132335,0.8457243,89.8102275,-22.5744690,13.9758443
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_2_ld_2_bkgd_voronoi_green.png,../../../../images/masks/obj_mask.png,0.2886698,-0.3420304,0.5295070,-0.3076871,-0.4042883,-0.9240932,-0.0596147,-0.0455802,17.3740981,-30.0807552,11.1363515,0.0326633,0.0070431,0.0076087,0.0016847,0.0126891,0.0131497,0.0034044,0.5476319,0.6029108,0.3221368,0.8517197,0.9171255,0.5419520,90.0795865,-25.2659909,15.2760062
mitsuba_comp_rmc_rsd_illum_1_rg_2_by_2_ld_2_bkgd_voronoi_red.png,../../../../images/masks/obj_mask.png,-0.4216807,-0.1907773,0.5124637,-0.3398670,-0.4317929,-0.9407659,0.0417753,-0.0145807,14.9674727,17.7673495,3.1822207,0.0762310,0.0067411,0.0042197,0.0022679,0.0119610,0.0098389,0.0038691,0.3736947,0.4776341,0.2880131,0.6194661,0.9676364,0.4217934,89.6840967,-28.0106889,16.5628107
