0,0,2.6606e-06
5.0933e-07,0,1.7187e-06
2.0171e-08,0,3.2223e-06
0,1.8292e-07,1.4384e-06
1.1048e-06,1.7481e-06,2.3976e-06
0,1.1684e-06,2.8552e-06
1.2766e-06,1.1477e-06,6.8676e-07
0,0,2.0005e-06
2.3178e-06,0,1.6764e-06
0,3.8512e-06,3.1033e-06
0,0,2.0497e-06
0,0,2.8489e-06
0,0,2.1013e-06
0,0,1.7165e-06
4.5207e-08,4.6788e-07,2.482e-06
1.8717e-06,2.6246e-06,3.6079e-06
2.2969e-06,1.885e-06,2.8481e-06
0,1.0524e-06,1.253e-06
0,9.8357e-07,2.0479e-06
0,8.4757e-07,2.6174e-06
0,4.3697e-07,2.7896e-06
1.2793e-06,0,2.266e-06
0,4.4707e-07,3.107e-06
7.551e-07,1.4796e-06,3.4302e-06
0,1.9301e-07,4.8471e-06
0,0,3.2413e-06
0,8.8443e-07,5.1609e-06
1.3678e-06,0,7.4356e-06
5.7111e-07,0,7.6136e-06
0,1.1705e-06,8.7982e-06
0,8.0811e-07,1.1437e-05
2.3604e-06,1.259e-06,1.4318e-05
1.9147e-06,5.4976e-07,1.6647e-05
0,3.1426e-07,1.8719e-05
0,7.9466e-07,2.3209e-05
4.4908e-07,1.3292e-06,2.6194e-05
4.971e-07,0,3.2331e-05
0,3.6763e-07,3.8404e-05
5.5224e-08,0,4.4607e-05
0,5.0864e-07,5.2653e-05
0,2.2381e-07,6.0008e-05
0,4.8161e-07,6.9558e-05
9.646e-07,1.71e-10,8.2621e-05
0,0,9.8127e-05
0,1.4872e-06,0.00011581
2.6139e-07,1.2453e-07,0.00013681
1.4865e-06,1.6502e-06,0.00016138
3.0184e-06,2.6196e-06,0.00018636
1.3221e-06,2.1804e-06,0.00021463
1.4902e-06,1.0062e-06,0.00025192
1.2298e-06,3.2867e-06,0.00030551
1.8752e-06,2.7774e-06,0.0003696
0,3.2068e-06,0.00044205
1.1863e-06,2.4808e-06,0.00051378
3.2957e-06,5.0138e-06,0.00059448
3.4129e-06,3.7485e-06,0.00069019
4.3637e-06,5.6184e-06,0.00080191
4.1726e-06,5.7135e-06,0.00094471
5.9509e-06,8.2042e-06,0.0011131
5.8696e-06,7.1746e-06,0.0013167
7.949e-06,9.0361e-06,0.0015014
8.9975e-06,9.7491e-06,0.0016744
8.8222e-06,1.1925e-05,0.0018346
1.1727e-05,1.3148e-05,0.0020207
1.1242e-05,1.2688e-05,0.0022417
1.4651e-05,1.3602e-05,0.0024895
1.474e-05,1.5121e-05,0.002738
1.4785e-05,1.6338e-05,0.0029579
1.6013e-05,1.7577e-05,0.0031208
1.6248e-05,1.8471e-05,0.0032342
1.916e-05,1.9426e-05,0.0033405
1.7564e-05,1.7984e-05,0.0034786
2.1574e-05,1.9562e-05,0.0036424
2.0201e-05,1.9806e-05,0.0038141
1.965e-05,2.0038e-05,0.0039534
1.9771e-05,2.0533e-05,0.0040065
2.0785e-05,2.0794e-05,0.0039848
2.1159e-05,2.1027e-05,0.0039253
1.9484e-05,2.1383e-05,0.0038706
2.0082e-05,2.0452e-05,0.0038493
2.1859e-05,2.0396e-05,0.0038367
2.161e-05,1.9909e-05,0.0038387
2.1163e-05,1.9704e-05,0.0038017
2.1446e-05,1.9104e-05,0.0037007
1.7554e-05,2.1075e-05,0.0035307
1.7617e-05,1.9053e-05,0.0033639
1.8447e-05,1.8308e-05,0.0032093
1.6321e-05,1.7897e-05,0.0030951
1.6397e-05,1.8594e-05,0.0030024
1.5244e-05,1.7167e-05,0.0029232
1.5518e-05,1.8151e-05,0.0028395
1.4178e-05,1.8452e-05,0.0027249
1.3461e-05,1.9212e-05,0.0025781
1.3701e-05,1.8999e-05,0.0024056
1.2678e-05,2.1466e-05,0.0022539
1.195e-05,2.2566e-05,0.0021326
9.6203e-06,2.5494e-05,0.0020366
1.0438e-05,2.855e-05,0.0019476
1.0046e-05,3.1548e-05,0.001872
9.0978e-06,3.6968e-05,0.001775
9.1372e-06,4.2193e-05,0.0016592
8.1436e-06,4.9415e-05,0.0015358
8.1048e-06,6.1436e-05,0.0014095
7.2901e-06,7.543e-05,0.0013041
7.1935e-06,9.3331e-05,0.0012126
6.5981e-06,0.00011107,0.001144
7.2131e-06,0.00013298,0.0010838
5.7965e-06,0.0001542,0.0010256
6.2214e-06,0.00017769,0.00096503
5.8595e-06,0.0002073,0.00089606
5.203e-06,0.00024665,0.00081448
6.4536e-06,0.00029583,0.0007376
5.6106e-06,0.00035639,0.00066483
5.3889e-06,0.00042542,0.00060554
5.596e-06,0.00050595,0.0005587
5.4968e-06,0.00058924,0.0005195
6.6132e-06,0.0006667,0.00048991
6.156e-06,0.00074381,0.00045965
6.329e-06,0.00081974,0.00042712
7.1573e-06,0.00091179,0.00039039
8.9367e-06,0.0010216,0.00035116
8.4472e-06,0.0011599,0.00031524
9.4103e-06,0.0013327,0.00028304
8.7077e-06,0.0015274,0.00025535
1.2024e-05,0.0017332,0.00023098
1.2262e-05,0.0019394,0.00021338
