sub_id,trial,img,illum,rg,by,lighter_darker,bkgd,mean_l,mean_a,mean_b,max_l,max_a,max_b,mean_ratio_l,mean_ratio_m,mean_ratio_s,std_ratio_l,std_ratio_m,std_ratio_s,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB
05,4,7,green,3,1,lighter,voronoi_diff_dist,55.6697192,-1.9450672,43.7494677,65.1506295,-2.3382961,50.0807501,0.5790274,0.5266605,0.1256510,0.5820970,0.5314567,0.1294558,0.077379,-0.24646,0.5958,0.36313,-1.4321,-0.98908,0.0031491,-0.0034396,2.6377,1.6166,0.1857,0.58987,0.0011787,0.0008666,0.0003831,0.0086156,0.0068135,0.002181,0.62755,0.55302,0.21437,2.9445,2.6846,0.85765,91.5906,-6.2003,73.7937
05,1,8,green,3,1,lighter,voronoi_diff_dist_brighter,33.9435966,-14.5290836,7.7550665,40.5329778,-16.7540898,9.5669862,0.1848851,0.2023919,0.1248563,0.1853994,0.2033488,0.1254731,-0.09069,-0.23871,0.59841,0.48586,-1.6133,-0.93276,0.029342,0.0063206,16.3119,12.4002,-5.3711,0.32887,0.0074399,0.0051836,0.0035597,0.013297,0.0096348,0.0037251,0.46252,0.39183,0.1951,0.74282,0.62886,0.23457,91.6493,-2.8819,93.8236
05,2,8,green,3,1,lighter,voronoi_diff_dist_brighter,26.2495722,-22.7280920,5.5906816,31.8247829,-26.0485683,6.9971838,0.1078285,0.1299447,0.0788128,0.1081192,0.1306001,0.0792578,-0.09069,-0.23871,0.59841,0.48586,-1.6133,-0.93276,0.029342,0.0063206,16.3119,12.4002,-5.3711,0.32887,0.0074399,0.0051836,0.0035597,0.013297,0.0096348,0.0037251,0.46252,0.39183,0.1951,0.74282,0.62886,0.23457,91.6493,-2.8819,93.8236
05,3,8,green,3,1,lighter,voronoi_diff_dist_brighter,24.6710948,-15.9758848,33.4510234,30.0596486,-18.1221834,38.9167825,0.1004915,0.1049245,0.0099182,0.1011824,0.1060970,0.0107996,-0.09069,-0.23871,0.59841,0.48586,-1.6133,-0.93276,0.029342,0.0063206,16.3119,12.4002,-5.3711,0.32887,0.0074399,0.0051836,0.0035597,0.013297,0.0096348,0.0037251,0.46252,0.39183,0.1951,0.74282,0.62886,0.23457,91.6493,-2.8819,93.8236
05,4,8,green,3,1,lighter,voronoi_diff_dist_brighter,37.8162678,-12.1907311,-2.1692866,44.9017215,-14.2572698,-1.4631555,0.2310581,0.2575124,0.2245477,0.2312394,0.2579762,0.2246682,-0.09069,-0.23871,0.59841,0.48586,-1.6133,-0.93276,0.029342,0.0063206,16.3119,12.4002,-5.3711,0.32887,0.0074399,0.0051836,0.0035597,0.013297,0.0096348,0.0037251,0.46252,0.39183,0.1951,0.74282,0.62886,0.23457,91.6493,-2.8819,93.8236
05,1,9,green,3,4,darker,voronoi_yellow,35.9014172,-19.8395010,-1.5962062,42.7366321,-22.9379024,-0.8597553,0.2024876,0.2392225,0.1977834,0.2026806,0.2397875,0.1979861,-0.14599,-0.27593,0.53254,-0.29874,-0.14059,-0.9839,-0.0023393,-0.0043429,4.9585,-1.8342,2.0689,0.45513,0.0016432,0.0014174,0.0005933,0.0071188,0.0063936,0.0031981,0.14952,0.17621,0.2331,0.48352,0.56338,0.90849,90.1497,-19.4382,5.0104
05,2,9,green,3,4,darker,voronoi_yellow,42.5027728,-26.0296971,-12.4695954,50.1892433,-30.2254896,-12.9216001,0.2835504,0.3596064,0.3832826,0.2831121,0.3593958,0.3826922,-0.14599,-0.27593,0.53254,-0.29874,-0.14059,-0.9839,-0.0023393,-0.0043429,4.9585,-1.8342,2.0689,0.45513,0.0016432,0.0014174,0.0005933,0.0071188,0.0063936,0.0031981,0.14952,0.17621,0.2331,0.48352,0.56338,0.90849,90.1497,-19.4382,5.0104
05,3,9,green,3,4,darker,voronoi_yellow,51.3830383,-14.5820851,7.7316163,60.2692402,-16.9398499,9.8557257,0.4583715,0.4908740,0.3321613,0.4594355,0.4928651,0.3333724,-0.14599,-0.27593,0.53254,-0.29874,-0.14059,-0.9839,-0.0023393,-0.0043429,4.9585,-1.8342,2.0689,0.45513,0.0016432,0.0014174,0.0005933,0.0071188,0.0063936,0.0031981,0.14952,0.17621,0.2331,0.48352,0.56338,0.90849,90.1497,-19.4382,5.0104
05,4,9,green,3,4,darker,voronoi_yellow,42.1008000,-8.7269569,12.5455324,49.7685831,-10.1731300,15.0695021,0.2984016,0.3044479,0.1743287,0.2993386,0.3060447,0.1754383,-0.14599,-0.27593,0.53254,-0.29874,-0.14059,-0.9839,-0.0023393,-0.0043429,4.9585,-1.8342,2.0689,0.45513,0.0016432,0.0014174,0.0005933,0.0071188,0.0063936,0.0031981,0.14952,0.17621,0.2331,0.48352,0.56338,0.90849,90.1497,-19.4382,5.0104
06,1,1,red,1,2,lighter,voronoi_green,41.6432419,-34.3521249,14.8148513,49.2575864,-39.2346502,17.5797228,0.2733602,0.3283497,0.1550547,0.2744273,0.3305224,0.1564828,0.23821,-0.3476,0.5208,0.077882,-0.48648,-0.93213,-0.05759,-0.044478,15.8444,-30.8237,11.3851,0.023273,0.0062325,0.0068822,0.0013424,0.012457,0.013112,0.0028739,0.47881,0.58704,0.29919,0.8018,0.98108,0.52748,89.8778,-4.6547,18.8289
06,2,1,red,1,2,lighter,voronoi_green,51.7488588,-40.0766696,20.5491325,60.7007300,-45.7294407,24.1574904,0.4449813,0.5296542,0.2276026,0.4468465,0.5333725,0.2301559,0.23821,-0.3476,0.5208,0.077882,-0.48648,-0.93213,-0.05759,-0.044478,15.8444,-30.8237,11.3851,0.023273,0.0062325,0.0068822,0.0013424,0.012457,0.013112,0.0028739,0.47881,0.58704,0.29919,0.8018,0.98108,0.52748,89.8778,-4.6547,18.8289
06,3,1,red,1,2,lighter,voronoi_green,51.9864316,-40.7193659,17.1728994,60.9669193,-46.5057564,20.3956541,0.4482215,0.5393294,0.2567925,0.4499504,0.5428603,0.2591280,0.23821,-0.3476,0.5208,0.077882,-0.48648,-0.93213,-0.05759,-0.044478,15.8444,-30.8237,11.3851,0.023273,0.0062325,0.0068822,0.0013424,0.012457,0.013112,0.0028739,0.47881,0.58704,0.29919,0.8018,0.98108,0.52748,89.8778,-4.6547,18.8289
06,4,1,red,1,2,lighter,voronoi_green,53.0952945,-39.2420049,20.7020833,62.2249518,-44.7927759,24.3529162,0.4734876,0.5594301,0.2435268,0.4754623,0.5633547,0.2462211,0.23821,-0.3476,0.5208,0.077882,-0.48648,-0.93213,-0.05759,-0.044478,15.8444,-30.8237,11.3851,0.023273,0.0062325,0.0068822,0.0013424,0.012457,0.013112,0.0028739,0.47881,0.58704,0.29919,0.8018,0.98108,0.52748,89.8778,-4.6547,18.8289
06,1,2,red,1,2,lighter,voronoi_green_brighter,56.5945652,-43.0125182,22.3081339,66.1876282,-49.0772865,26.2090027,0.5474768,0.6514499,0.2775434,0.5498034,0.6560879,0.2806992,0.13811,-0.34988,0.55359,-0.039668,-0.53774,-0.88519,-0.10191,-0.082056,23.617,-44.9818,17.7869,0.017743,0.010471,0.011721,0.0019728,0.0147,0.015811,0.0030783,0.56317,0.69208,0.31357,0.77206,0.96507,0.45356,90.6334,-12.0446,20.7234
06,2,2,red,1,2,lighter,voronoi_green_brighter,45.2391043,-35.6521637,11.7105495,53.3241620,-40.7753176,14.1753034,0.3273600,0.3959839,0.2133069,0.3284514,0.3982789,0.2147892,0.13811,-0.34988,0.55359,-0.039668,-0.53774,-0.88519,-0.10191,-0.082056,23.617,-44.9818,17.7869,0.017743,0.010471,0.011721,0.0019728,0.0147,0.015811,0.0030783,0.56317,0.69208,0.31357,0.77206,0.96507,0.45356,90.6334,-12.0446,20.7234
06,3,2,red,1,2,lighter,voronoi_green_brighter,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.13811,-0.34988,0.55359,-0.039668,-0.53774,-0.88519,-0.10191,-0.082056,23.617,-44.9818,17.7869,0.017743,0.010471,0.011721,0.0019728,0.0147,0.015811,0.0030783,0.56317,0.69208,0.31357,0.77206,0.96507,0.45356,90.6334,-12.0446,20.7234
06,4,2,red,1,2,lighter,voronoi_green_brighter,51.1325538,-37.9594479,14.7434692,59.9973708,-43.3960667,17.6723690,0.4328505,0.5179608,0.2651337,0.4343929,0.5211351,0.2671959,0.13811,-0.34988,0.55359,-0.039668,-0.53774,-0.88519,-0.10191,-0.082056,23.617,-44.9818,17.7869,0.017743,0.010471,0.011721,0.0019728,0.0147,0.015811,0.0030783,0.56317,0.69208,0.31357,0.77206,0.96507,0.45356,90.6334,-12.0446,20.7234
06,1,3,red,1,4,lighter,voronoi_red,38.7520814,13.2972911,-33.5422727,45.8908871,14.2647983,-36.6181550,0.2514521,0.2748564,0.5575337,0.2494094,0.2715149,0.5544288,-0.047942,-0.27352,0.50625,-0.37725,-0.073328,-0.96528,-0.0070242,0.025847,9.6537,4.3606,-8.8558,0.16825,0.0035727,0.003151,0.0028089,0.0091551,0.0091888,0.005171,0.18429,0.36992,0.39486,0.4121,0.90917,0.65707,89.5392,-23.0364,2.6091
