rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s
0.2250527,0.2634734,0.3247434,0.5095135,0.5922614,0.7370314
0.6057568,0.7263314,0.9264738,0.7442009,0.9631470,1.3951425
0.1638569,0.2091725,0.1583302,0.4458794,0.5578711,0.4402889
0.4511427,0.5865101,0.4084047,0.6654829,0.9455252,0.6006283
0.2840754,0.2255696,0.1978320,0.6415508,0.5167061,0.4669430
0.8164847,0.6214235,0.5051698,1.0665328,0.7521689,0.6155599
0.2938587,0.2836669,0.1514059,0.6150351,0.5925515,0.3487004
0.7832256,0.7572549,0.3479712,0.9232991,0.8778050,0.3932003

