sub_id,trial,img,img_name,illum,rg,by,lighter_darker,bkgd,mean_ld,mean_rg,mean_yv,mean_l,mean_a,mean_b,mean_cone_l,mean_cone_m,mean_cone_s,max_l,max_a,max_b,mean_ratio_l,mean_ratio_m,mean_ratio_s,std_ratio_l,std_ratio_m,std_ratio_s,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB,ld,rg_mix,by_mix,qualityc
02,3,3,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_4_ld_2_bkgd_voronoi_red.png,red,1,4,lighter,voronoi_red,-0.9240474,0.0221125,0.0567535,22.7113257,14.9566789,-12.2211327,0.0083305,0.0061506,0.0061715,27.7856402,16.5955297,-12.9880604,0.0938706,0.0845904,0.1307636,0.0936218,0.0840693,0.1302877,-0.16492,-0.27462,0.50625,-0.37725,-0.073328,-0.94969,-0.010709,0.035454,13.6605,5.1997,-11.0196,0.18377,0.0051667,0.0045734,0.0039831,0.010883,0.010996,0.0060034,0.34082,0.68323,0.70676,0.51533,1.1526,0.80379,89.5392,-23.0364,2.6091,0.29775,0.91042,0.99917,4
02,4,3,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_4_ld_2_bkgd_voronoi_red.png,red,1,4,lighter,voronoi_red,-0.9215458,0.0268005,0.0557039,23.1316987,16.0872062,-11.8281975,0.0086547,0.0062701,0.0062498,28.2617070,17.8770783,-12.5394324,0.0975231,0.0862351,0.1324226,0.0972692,0.0857121,0.1319393,-0.16492,-0.27462,0.50625,-0.37725,-0.073328,-0.94969,-0.010709,0.035454,13.6605,5.1997,-11.0196,0.18377,0.0051667,0.0045734,0.0039831,0.010883,0.010996,0.0060034,0.34082,0.68323,0.70676,0.51533,1.1526,0.80379,89.5392,-23.0364,2.6091,0.30069,0.9375,0.98167,4
02,1,4,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_4_ld_2_bkgd_voronoi_red_brighter.png,red,1,4,lighter,voronoi_red_brighter,-0.9269989,0.0123963,0.0558114,22.2034442,11.8231062,-12.2968991,0.0078872,0.0060891,0.0059824,27.2102618,13.0317197,-13.0862951,0.0888752,0.0837445,0.1267573,0.0885976,0.0832182,0.1262831,-0.23953,-0.29335,0.53822,-0.11731,-0.11325,-0.92391,-0.030183,0.066831,18.8849,2.2,-15.2966,0.14742,0.0076429,0.0072145,0.0065915,0.012202,0.012642,0.0073107,0.36799,0.72521,0.72667,0.4962,1.0185,0.71586,90.2807,-8.4966,4.0038,0.2911,0.83125,0.995,4
02,2,4,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_4_ld_2_bkgd_voronoi_red_brighter.png,red,1,4,lighter,voronoi_red_brighter,-0.9264783,0.0077676,0.0567682,22.2937744,10.2410236,-12.4300160,0.0078796,0.0062268,0.0060471,27.3127102,11.2335951,-13.2324999,0.0887892,0.0856395,0.1281289,0.0885393,0.0851562,0.1276651,-0.23953,-0.29335,0.53822,-0.11731,-0.11325,-0.92391,-0.030183,0.066831,18.8849,2.2,-15.2966,0.14742,0.0076429,0.0072145,0.0065915,0.012202,0.012642,0.0073107,0.36799,0.72521,0.72667,0.4962,1.0185,0.71586,90.2807,-8.4966,4.0038,0.2916,0.78958,0.99583,3
02,3,4,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_4_ld_2_bkgd_voronoi_red_brighter.png,red,1,4,lighter,voronoi_red_brighter,-0.8827124,0.0208570,0.0817720,28.7445440,13.4053097,-13.3155075,0.0126725,0.0097522,0.0092689,34.6104430,14.7755532,-14.1054751,0.1427974,0.1341245,0.1963939,0.1424227,0.1333893,0.1956972,-0.23953,-0.29335,0.53822,-0.11731,-0.11325,-0.92391,-0.030183,0.066831,18.8849,2.2,-15.2966,0.14742,0.0076429,0.0072145,0.0065915,0.012202,0.012642,0.0073107,0.36799,0.72521,0.72667,0.4962,1.0185,0.71586,90.2807,-8.4966,4.0038,0.36396,0.83177,0.99667,4
02,4,4,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_4_ld_2_bkgd_voronoi_red_brighter.png,red,1,4,lighter,voronoi_red_brighter,-0.9036236,0.0333183,0.0651028,25.9096317,17.0249547,-12.1386978,0.0106319,0.0076895,0.0075331,31.4036226,18.9272268,-12.8376170,0.1198037,0.1057563,0.1596152,0.1194904,0.1051022,0.1590324,-0.23953,-0.29335,0.53822,-0.11731,-0.11325,-0.92391,-0.030183,0.066831,18.8849,2.2,-15.2966,0.14742,0.0076429,0.0072145,0.0065915,0.012202,0.012642,0.0073107,0.36799,0.72521,0.72667,0.4962,1.0185,0.71586,90.2807,-8.4966,4.0038,0.33081,0.93698,0.97833,4
02,1,5,mitsuba_comp_rmc_rsd_illum_4_rg_1_by_2_ld_1_bkgd_voronoi_diff_dist_brighter.png,green,1,2,darker,voronoi_diff_dist_brighter,-0.9713423,-0.0222722,0.0228729,11.9734448,-12.0859625,-9.3354141,0.0027252,0.0029298,0.0023776,15.6448396,-14.3030893,-9.9553385,0.0307088,0.0402940,0.0503782,0.0306420,0.0402173,0.0502481,-0.13214,-0.33272,0.52726,-0.60242,-0.41591,-0.96157,-0.026894,0.02695,11.263,-6.941,-12.3128,0.091649,0.0036891,0.0038639,0.0030279,0.010291,0.01014,0.0038871,0.39526,0.48462,0.25431,0.63331,0.72623,0.24415,90.0276,-44.1682,15.7754,0.16943,0.046354,0.9525,5
02,2,5,mitsuba_comp_rmc_rsd_illum_4_rg_1_by_2_ld_1_bkgd_voronoi_diff_dist_brighter.png,green,1,2,darker,voronoi_diff_dist_brighter,-0.9507014,-0.0227786,0.0034008,17.5151283,-12.4533967,-1.1961131,0.0048449,0.0046765,0.0025356,21.9283205,-14.4032485,-0.7410432,0.0545934,0.0643178,0.0537246,0.0546460,0.0644659,0.0537939,-0.13214,-0.33272,0.52726,-0.60242,-0.41591,-0.96157,-0.026894,0.02695,11.263,-6.941,-12.3128,0.091649,0.0036891,0.0038639,0.0030279,0.010291,0.01014,0.0038871,0.39526,0.48462,0.25431,0.63331,0.72623,0.24415,90.0276,-44.1682,15.7754,0.18209,0,0.2975,4
02,3,5,mitsuba_comp_rmc_rsd_illum_4_rg_1_by_2_ld_1_bkgd_voronoi_diff_dist_brighter.png,green,1,2,darker,voronoi_diff_dist_brighter,-0.9671811,-0.0134782,0.0003724,13.2637318,-9.9704845,-0.2185947,0.0032455,0.0030769,0.0016066,17.1219625,-11.5788906,0.2789790,0.0365710,0.0423177,0.0340407,0.0366512,0.0424547,0.0341107,-0.13214,-0.33272,0.52726,-0.60242,-0.41591,-0.96157,-0.026894,0.02695,11.263,-6.941,-12.3128,0.091649,0.0036891,0.0038639,0.0030279,0.010291,0.01014,0.0038871,0.39526,0.48462,0.25431,0.63331,0.72623,0.24415,90.0276,-44.1682,15.7754,0.14571,0.0020833,0.17083,4
02,4,5,mitsuba_comp_rmc_rsd_illum_4_rg_1_by_2_ld_1_bkgd_voronoi_diff_dist_brighter.png,green,1,2,darker,voronoi_diff_dist_brighter,-0.9235630,-0.0369972,0.0054823,22.7909507,-15.1778613,-1.4359159,0.0074892,0.0072845,0.0039397,27.8991645,-17.5433574,-0.9134201,0.0843905,0.1001863,0.0834754,0.0844727,0.1004127,0.0835531,-0.13214,-0.33272,0.52726,-0.60242,-0.41591,-0.96157,-0.026894,0.02695,11.263,-6.941,-12.3128,0.091649,0.0036891,0.0038639,0.0030279,0.010291,0.01014,0.0038871,0.39526,0.48462,0.25431,0.63331,0.72623,0.24415,90.0276,-44.1682,15.7754,0.22691,0,0.35417,4
