rmse_fmin,rmse_dzmura,rmse_rigid,rmse_affinemap,rmse_identity,cspace,chroma_or_full,illum,body_color,light_or_dark,mask_name,ref_lev,exclude_darkpxs
18.2422637745046,20.7016929540839,32.1614905190574,15.4434984394892,42.7238268641414,lab,chroma,blue,blue,lighter,obj_mask_correct,normal,0
21.2063237475586,22.512447475858,38.3752799600345,20.7369538935329,55.5925973298941,lab,full,blue,blue,lighter,obj_mask_correct,normal,0
0.112551513070967,0.112712334442174,0.419206819305071,0.111819469330069,0.484587512205172,dkl,chroma,blue,blue,lighter,obj_mask_correct,normal,0
0.232253950394179,0.167774972178325,0.544950077055115,0.163193752259667,0.70089406566867,dkl,full,blue,blue,lighter,obj_mask_correct,normal,0
0.0168085046759745,0.0171406299142654,0.0603834005228287,0.0168085046393198,0.0762591331337685,dkl_from_lms,chroma,blue,blue,lighter,obj_mask_correct,normal,0
0.0339751151028338,0.0345713943530281,0.0998848825694294,0.0339662906769461,0.136262098096404,dkl_from_lms,full,blue,blue,lighter,obj_mask_correct,normal,0
0.0305846985887174,0.0239966425477665,0.0604293005962427,0.0236285837982038,0.0849061659177896,lms,full,blue,blue,lighter,obj_mask_correct,normal,0
19.8142855856528,22.299779173281,34.0202851421304,16.3986757319173,42.7267685474158,lab,chroma,blue,blue,lighter,refl_mask_correct,normal,0
22.9766906117926,22.5619451200298,41.1820585392575,21.7245041288613,55.2548094585749,lab,full,blue,blue,lighter,refl_mask_correct,normal,0
0.132725114722838,0.133586417177764,0.455393434444814,0.132705220503863,0.523906737778614,dkl,chroma,blue,blue,lighter,refl_mask_correct,normal,0
0.221667666798244,0.197832679081854,0.609707986106722,0.195005417662121,0.774705917971268,dkl,full,blue,blue,lighter,refl_mask_correct,normal,0
0.0204100146211224,0.020647321778464,0.0700214670919275,0.0204100146116092,0.0878232640444628,dkl_from_lms,chroma,blue,blue,lighter,refl_mask_correct,normal,0
0.0410584395544293,0.0412068304164628,0.115711954443932,0.0407468527186389,0.155071265819356,dkl_from_lms,full,blue,blue,lighter,refl_mask_correct,normal,0
0.0291664048686523,0.0284875597949727,0.0696982486345369,0.0281999551191998,0.095821153177055,lms,full,blue,blue,lighter,refl_mask_correct,normal,0
17.786278489171,20.2501006455322,32.0386238744938,15.0256679127469,42.6035013228259,lab,chroma,blue,blue,lighter,obj_wout_high_mask_correct,normal,0
20.4022063180103,20.522438153209,37.9040801136149,19.9909972085729,55.4543104195879,lab,full,blue,blue,lighter,obj_wout_high_mask_correct,normal,0
0.095362044254424,0.0953033606369175,0.411709366514249,0.0939608162808775,0.48127812901275,dkl,chroma,blue,blue,lighter,obj_wout_high_mask_correct,normal,0
0.279421569503674,0.139925023338106,0.533013246105241,0.133914005785039,0.696849907024616,dkl,full,blue,blue,lighter,obj_wout_high_mask_correct,normal,0
0.0140348643972754,0.0143911766689682,0.0592356602115575,0.0140348643765934,0.0759813830159619,dkl_from_lms,chroma,blue,blue,lighter,obj_wout_high_mask_correct,normal,0
0.0290784862310288,0.028000910756373,0.0969832621386158,0.0274053925890986,0.135424157239391,dkl_from_lms,full,blue,blue,lighter,obj_wout_high_mask_correct,normal,0
0.0248250123030451,0.0191293205359398,0.0581228879459663,0.0187691420053121,0.0841181524063958,lms,full,blue,blue,lighter,obj_wout_high_mask_correct,normal,0
19.8852244469973,21.5251011188188,34.1154307598608,16.9228824589385,49.2330933420465,lab,chroma,blue,green,lighter,obj_mask_correct,normal,0
21.3038404402408,21.8880850877717,39.4902068933966,21.122984142431,62.3704749051626,lab,full,blue,green,lighter,obj_mask_correct,normal,0
0.0986793991217853,0.0999402913600602,0.4173389054623,0.0986793928436098,0.497051140524312,dkl,chroma,blue,green,lighter,obj_mask_correct,normal,0
0.223295461222746,0.149720521764077,0.548023107571875,0.145004672154714,0.722435950124991,dkl,full,blue,green,lighter,obj_mask_correct,normal,0
0.0176653503176931,0.0179744135973279,0.0608872083372064,0.0176653503019143,0.0761175660399247,dkl_from_lms,chroma,blue,green,lighter,obj_mask_correct,normal,0
0.0324003647939417,0.0327261655037821,0.100887491530766,0.0322939223084575,0.139576403256919,dkl_from_lms,full,blue,green,lighter,obj_mask_correct,normal,0
0.02221861970585,0.021593843191489,0.0610846409331754,0.0213481951225084,0.0883437854872243,lms,full,blue,green,lighter,obj_mask_correct,normal,0
22.0506350764373,24.0042612824895,36.2608479057909,18.3981669360816,50.0478900478174,lab,chroma,blue,green,lighter,refl_mask_correct,normal,0
23.5177882414617,23.2628090214146,42.4487863653471,22.7482972468292,62.6555084449524,lab,full,blue,green,lighter,refl_mask_correct,normal,0
0.119169951628652,0.120326350533247,0.458361780817294,0.119169942677023,0.539480090476331,dkl,chroma,blue,green,lighter,refl_mask_correct,normal,0
0.34064047798212,0.178319589161136,0.611954213886356,0.175457895393867,0.80149226799657,dkl,full,blue,green,lighter,refl_mask_correct,normal,0
0.0211193728804863,0.0212999505727751,0.0709413868264087,0.0211193681177412,0.087930843931389,dkl_from_lms,chroma,blue,green,lighter,refl_mask_correct,normal,0
0.0405935928659739,0.0390763877060059,0.116815293793002,0.038788381395583,0.159305036806793,dkl_from_lms,full,blue,green,lighter,refl_mask_correct,normal,0
0.027090810828838,0.0259079398557983,0.0702200962021069,0.0257457699409097,0.10004847066455,lms,full,blue,green,lighter,refl_mask_correct,normal,0
19.3528015177261,20.9593665138989,33.9387427126369,16.4464343872021,49.0875353510379,lab,chroma,blue,green,lighter,obj_wout_high_mask_correct,normal,0
